Entity,Code,Year,Low-carbon energy (TWh growth - equivalent),Renewables (TWh growth - equivalent),Fossil fuels (TWh growth),Nuclear (TWh growth - equivalent)
Africa,,1966,4.7441025,4.7441025,29.068542,0
Africa,,1967,2.0126228,2.0126228,5.7886353,0
Africa,,1968,8.124931,8.124931,34.536804,0
Africa,,1969,9.351627,9.351627,12.720581,0
Africa,,1970,16.350777,16.350777,54.016113,0
Africa,,1971,-4.2580414,-4.2580414,64.3905,0
Africa,,1972,10.706917,10.706917,43.888123,0
Africa,,1973,5.0798416,5.0798416,78.65497,0
Africa,,1974,12.794197,12.794197,41.637146,0
Africa,,1975,6.054901,6.054901,62.486694,0
Africa,,1976,12.105011,12.105011,92.250854,0
Africa,,1977,12.228485,12.228485,60.487183,0
Africa,,1978,1.1374207,1.1374207,52.423584,0
Africa,,1979,9.653885,9.653885,119.71289,0
Africa,,1980,-3.6872864,-3.6872864,121.361206,0
Africa,,1981,5.59758,5.59758,201.1571,0
Africa,,1982,0.09687805,0.09687805,124.65857,0
Africa,,1983,-14.68309,-14.68309,74.7843,0
Africa,,1984,8.911011,-2.2262268,55.61133,11.137245
Africa,,1985,18.721695,14.777542,68.49585,3.9441462
Africa,,1986,16.025803,6.1285553,29.750732,9.897252
Africa,,1987,-13.656555,-6.17688,87.180664,-7.4796886
Africa,,1988,25.601547,13.326462,140.13232,12.275087
Africa,,1989,9.6236725,7.9041443,-5.7490234,1.7195339
Africa,,1990,-4.0246887,3.4947205,87.41577,-7.519413
Africa,,1991,12.07782,10.105743,-14.994385,1.9720726
Africa,,1992,-7.733261,-8.141861,46.972168,0.40860367
Africa,,1993,-8.940857,-3.1721802,16.20166,-5.768669
Africa,,1994,9.316727,2.3875122,80.00122,6.9292107
Africa,,1995,11.51358,6.962204,99.345215,4.5513725
Africa,,1996,9.64357,8.298584,63.029785,1.344986
Africa,,1997,7.436569,4.962265,54.50708,2.4743118
Africa,,1998,12.023529,9.316544,34.206543,2.7069855
Africa,,1999,9.741638,11.909485,83.166504,-2.1678581
Africa,,2000,16.421661,15.930786,54.04785,0.4908905
Africa,,2001,9.262909,15.961166,104.91016,-6.6982517
Africa,,2002,14.427673,11.0598755,28.389893,3.367796
Africa,,2003,-5.8017273,-7.4565735,167.84497,1.6548462
Africa,,2004,15.396118,13.679047,243.91504,1.7170639
Africa,,2005,-3.3383484,2.5901184,14.57959,-5.9284706
Africa,,2006,6.5290527,10.182739,66.77075,-3.653675
Africa,,2007,9.794159,6.4622803,137.0481,3.331871
Africa,,2008,8.718384,4.360077,231.00073,4.3582993
Africa,,2009,6.1628723,6.9099426,65.25903,-0.7470665
Africa,,2010,25.16269,23.452911,108.93945,1.7097931
Africa,,2011,6.916809,8.790985,28.651855,-1.8741798
Africa,,2012,1.328949,1.3637695,177.84082,-0.034828186
Africa,,2013,21.453583,18.681427,109.14844,2.7721481
Africa,,2014,24.509857,25.54184,107.39551,-1.03199
Africa,,2015,2.452301,6.6893005,119.15967,-4.236994
Africa,,2016,6.3611145,-0.6163635,126.23389,6.9774723
Africa,,2017,30.216675,32.571014,103.456055,-2.3543396
Africa,,2018,21.984528,28.830475,96.07129,-6.8459225
Africa,,2019,34.05417,29.933289,91.970215,4.1208744
Africa,,2020,24.130096,32.6933,-317.11182,-8.563208
Africa,,2021,32.76288,26.697357,312.76172,6.0655117
