Entity,Code,Year,Coal (% equivalent primary energy)
Africa,,1965,45.160805
Africa,,1966,43.075306
Africa,,1967,43.57785
Africa,,1968,42.907135
Africa,,1969,42.136402
Africa,,1970,40.39671
Africa,,1971,40.183094
Africa,,1972,38.125126
Africa,,1973,37.463234
Africa,,1974,37.144203
Africa,,1975,37.142147
Africa,,1976,36.47744
Africa,,1977,35.334785
Africa,,1978,33.06446
Africa,,1979,32.217003
Africa,,1980,32.12239
Africa,,1981,33.482506
Africa,,1982,34.649
Africa,,1983,34.228878
Africa,,1984,35.512074
Africa,,1985,35.212147
Africa,,1986,35.302944
Africa,,1987,35.17586
Africa,,1988,35.31642
Africa,,1989,33.101704
Africa,,1990,33.65595
Africa,,1991,32.775505
Africa,,1992,32.480824
Africa,,1993,32.877766
Africa,,1994,32.635788
Africa,,1995,32.34976
Africa,,1996,31.982052
Africa,,1997,32.11533
Africa,,1998,30.900877
Africa,,1999,30.909273
Africa,,2000,30.156347
Africa,,2001,29.484594
Africa,,2002,27.870134
Africa,,2003,28.936056
Africa,,2004,29.653543
Africa,,2005,27.449724
Africa,,2006,27.317652
Africa,,2007,26.753988
Africa,,2008,27.813
Africa,,2009,27.243397
Africa,,2010,26.191887
Africa,,2011,25.587337
Africa,,2012,23.990675
Africa,,2013,23.59035
Africa,,2014,24.032085
Africa,,2015,22.189018
Africa,,2016,22.89449
Africa,,2017,22.2983
Africa,,2018,21.433876
Africa,,2019,22.13449
Africa,,2020,22.376127
Africa,,2021,20.664486
Africa,,2022,19.612795
Africa (EI),,1965,45.160805
Africa (EI),,1966,43.075306
Africa (EI),,1967,43.577854
Africa (EI),,1968,42.907135
Africa (EI),,1969,42.136402
Africa (EI),,1970,40.39671
Africa (EI),,1971,40.183098
Africa (EI),,1972,38.125126
Africa (EI),,1973,37.46323
Africa (EI),,1974,37.144203
Africa (EI),,1975,37.142147
Africa (EI),,1976,36.47744
Africa (EI),,1977,35.334793
Africa (EI),,1978,33.06446
Africa (EI),,1979,32.217003
Africa (EI),,1980,32.12239
Africa (EI),,1981,33.482506
Africa (EI),,1982,34.649
Africa (EI),,1983,34.228878
Africa (EI),,1984,35.51207
Africa (EI),,1985,35.21215
Africa (EI),,1986,35.302944
Africa (EI),,1987,35.17586
Africa (EI),,1988,35.31642
Africa (EI),,1989,33.101704
Africa (EI),,1990,33.655945
Africa (EI),,1991,32.775505
Africa (EI),,1992,32.48082
Africa (EI),,1993,32.877766
Africa (EI),,1994,32.635788
Africa (EI),,1995,32.34976
Africa (EI),,1996,31.982052
Africa (EI),,1997,32.11533
Africa (EI),,1998,30.90088
Africa (EI),,1999,30.909273
Africa (EI),,2000,30.15635
Africa (EI),,2001,29.484594
Africa (EI),,2002,27.870134
Africa (EI),,2003,28.936056
Africa (EI),,2004,29.653545
Africa (EI),,2005,27.44972
Africa (EI),,2006,27.317656
Africa (EI),,2007,26.753988
Africa (EI),,2008,27.813
Africa (EI),,2009,27.243397
Africa (EI),,2010,26.19189
Africa (EI),,2011,25.587337
Africa (EI),,2012,23.990675
Africa (EI),,2013,23.59035
Africa (EI),,2014,24.03209
Africa (EI),,2015,22.189022
Africa (EI),,2016,22.89449
Africa (EI),,2017,22.2983
Africa (EI),,2018,21.433878
Africa (EI),,2019,22.13449
Africa (EI),,2020,22.376127
Africa (EI),,2021,20.664486
Africa (EI),,2022,19.612797
Algeria,DZA,1965,3.2783456
Algeria,DZA,1966,2.650932
Algeria,DZA,1967,2.14094
Algeria,DZA,1968,2.1079264
Algeria,DZA,1969,2.4273093
Algeria,DZA,1970,2.6260033
Algeria,DZA,1971,0.67322135
Algeria,DZA,1972,0.5209657
Algeria,DZA,1973,0.50232226
Algeria,DZA,1974,0.3751044
Algeria,DZA,1975,0.3966481
Algeria,DZA,1976,0.66576844
Algeria,DZA,1977,0.7863978
Algeria,DZA,1978,0.31803575
Algeria,DZA,1979,0.5637261
Algeria,DZA,1980,0.42018044
Algeria,DZA,1981,0.24320799
Algeria,DZA,1982,3.9139762
Algeria,DZA,1983,3.1975706
Algeria,DZA,1984,3.691976
Algeria,DZA,1985,3.8220327
Algeria,DZA,1986,3.7091532
Algeria,DZA,1987,4.3148375
Algeria,DZA,1988,3.7888088
Algeria,DZA,1989,3.292452
Algeria,DZA,1990,2.4332728
Algeria,DZA,1991,2.5339715
Algeria,DZA,1992,2.9344945
Algeria,DZA,1993,2.5680096
Algeria,DZA,1994,2.3882396
Algeria,DZA,1995,2.3026404
Algeria,DZA,1996,1.0957371
Algeria,DZA,1997,1.9991152
Algeria,DZA,1998,2.066892
Algeria,DZA,1999,2.1920552
Algeria,DZA,2000,1.8805242
Algeria,DZA,2001,2.0954082
Algeria,DZA,2002,2.6550817
Algeria,DZA,2003,2.0918128
Algeria,DZA,2004,2.4039516
Algeria,DZA,2005,1.8860927
Algeria,DZA,2006,2.7049358
Algeria,DZA,2007,2.2029614
Algeria,DZA,2008,2.078566
Algeria,DZA,2009,1.259232
Algeria,DZA,2010,0.8212624
Algeria,DZA,2011,0.6885534
Algeria,DZA,2012,0.66892815
Algeria,DZA,2013,0.342201
Algeria,DZA,2014,0.35548544
Algeria,DZA,2015,0.25048494
Algeria,DZA,2016,0.09236205
Algeria,DZA,2017,0.33931997
Algeria,DZA,2018,0.86840326
Algeria,DZA,2019,0.6917546
Algeria,DZA,2020,0.23478699
Algeria,DZA,2021,0.4416653
Algeria,DZA,2022,0.21857864
Argentina,ARG,1965,2.5736191
Argentina,ARG,1966,2.0555239
Argentina,ARG,1967,2.2463248
Argentina,ARG,1968,2.1114457
Argentina,ARG,1969,2.4462075
Argentina,ARG,1970,3.3162787
Argentina,ARG,1971,2.7425675
Argentina,ARG,1972,2.279969
Argentina,ARG,1973,2.3953428
Argentina,ARG,1974,2.8684344
Argentina,ARG,1975,2.8593552
Argentina,ARG,1976,2.7542467
Argentina,ARG,1977,2.4936671
Argentina,ARG,1978,3.0351448
Argentina,ARG,1979,2.6338391
Argentina,ARG,1980,2.3610456
Argentina,ARG,1981,2.3059626
Argentina,ARG,1982,2.2863417
Argentina,ARG,1983,1.9927313
Argentina,ARG,1984,1.4743637
Argentina,ARG,1985,2.200828
Argentina,ARG,1986,2.3795862
Argentina,ARG,1987,2.5270278
Argentina,ARG,1988,2.5469549
Argentina,ARG,1989,2.8579981
Argentina,ARG,1990,2.3909574
Argentina,ARG,1991,2.0704079
Argentina,ARG,1992,2.1755695
Argentina,ARG,1993,1.396572
Argentina,ARG,1994,1.1605712
Argentina,ARG,1995,1.1801531
Argentina,ARG,1996,1.1819327
Argentina,ARG,1997,0.9218002
Argentina,ARG,1998,1.1965587
Argentina,ARG,1999,1.4201912
Argentina,ARG,2000,1.0751137
Argentina,ARG,2001,0.9020709
Argentina,ARG,2002,0.70076126
Argentina,ARG,2003,0.79740846
Argentina,ARG,2004,1.2781414
Argentina,ARG,2005,1.3866594
Argentina,ARG,2006,1.1948599
Argentina,ARG,2007,1.6589195
Argentina,ARG,2008,1.9968656
Argentina,ARG,2009,1.1285414
Argentina,ARG,2010,1.5240439
Argentina,ARG,2011,1.6080508
Argentina,ARG,2012,1.448457
Argentina,ARG,2013,1.5222468
Argentina,ARG,2014,1.6218394
Argentina,ARG,2015,1.5862668
Argentina,ARG,2016,1.2281685
Argentina,ARG,2017,1.2633977
Argentina,ARG,2018,1.3927169
Argentina,ARG,2019,0.87603277
Argentina,ARG,2020,1.1514132
Argentina,ARG,2021,1.4551944
Argentina,ARG,2022,1.4384855
Asia,,1965,48.641663
Asia,,1966,47.383717
Asia,,1967,43.819633
Asia,,1968,41.225548
Asia,,1969,40.938946
Asia,,1970,40.67593
Asia,,1971,39.81848
Asia,,1972,38.93761
Asia,,1973,36.781
Asia,,1974,36.819286
Asia,,1975,38.385212
Asia,,1976,37.13492
Asia,,1977,37.159046
Asia,,1978,36.41458
Asia,,1979,36.178516
Asia,,1980,38.220726
Asia,,1981,38.89339
Asia,,1982,39.54968
Asia,,1983,39.878128
Asia,,1984,40.24743
Asia,,1985,39.898975
Asia,,1986,39.87333
Asia,,1987,40.380116
Asia,,1988,40.272655
Asia,,1989,40.00156
Asia,,1990,39.181973
Asia,,1991,39.17881
Asia,,1992,38.688316
Asia,,1993,38.83095
Asia,,1994,38.691334
Asia,,1995,37.622513
Asia,,1996,37.553566
Asia,,1997,36.543713
Asia,,1998,36.426838
Asia,,1999,36.152763
Asia,,2000,36.161366
Asia,,2001,36.60565
Asia,,2002,37.571003
Asia,,2003,39.885895
Asia,,2004,40.94202
Asia,,2005,43.281563
Asia,,2006,44.123142
Asia,,2007,45.19338
Asia,,2008,44.974915
Asia,,2009,45.444572
Asia,,2010,44.669186
Asia,,2011,45.61771
Asia,,2012,45.087166
Asia,,2013,44.829693
Asia,,2014,44.297054
Asia,,2015,42.985863
Asia,,2016,41.668518
Asia,,2017,41.20016
Asia,,2018,40.95415
Asia,,2019,40.757202
Asia,,2020,40.98824
Asia,,2021,40.826252
Asia,,2022,40.777576
Asia Pacific (EI),,1965,53.1099
Asia Pacific (EI),,1966,51.582676
Asia Pacific (EI),,1967,47.967754
Asia Pacific (EI),,1968,45.17273
Asia Pacific (EI),,1969,44.620605
Asia Pacific (EI),,1970,43.843506
Asia Pacific (EI),,1971,42.83493
Asia Pacific (EI),,1972,41.99133
Asia Pacific (EI),,1973,39.843147
Asia Pacific (EI),,1974,39.92967
Asia Pacific (EI),,1975,41.427128
Asia Pacific (EI),,1976,40.447968
Asia Pacific (EI),,1977,40.77594
Asia Pacific (EI),,1978,40.035408
Asia Pacific (EI),,1979,40.12675
Asia Pacific (EI),,1980,42.177017
Asia Pacific (EI),,1981,43.25163
Asia Pacific (EI),,1982,44.33447
Asia Pacific (EI),,1983,44.969444
Asia Pacific (EI),,1984,45.630783
Asia Pacific (EI),,1985,46.95363
Asia Pacific (EI),,1986,46.82721
Asia Pacific (EI),,1987,47.52433
Asia Pacific (EI),,1988,47.46245
Asia Pacific (EI),,1989,47.042404
Asia Pacific (EI),,1990,46.20311
Asia Pacific (EI),,1991,46.000324
Asia Pacific (EI),,1992,45.511948
Asia Pacific (EI),,1993,45.48994
Asia Pacific (EI),,1994,45.310123
Asia Pacific (EI),,1995,44.07277
Asia Pacific (EI),,1996,43.928673
Asia Pacific (EI),,1997,42.809406
Asia Pacific (EI),,1998,42.857597
Asia Pacific (EI),,1999,42.59035
Asia Pacific (EI),,2000,42.570675
Asia Pacific (EI),,2001,43.10264
Asia Pacific (EI),,2002,44.262196
Asia Pacific (EI),,2003,46.716656
Asia Pacific (EI),,2004,47.830746
Asia Pacific (EI),,2005,50.448895
Asia Pacific (EI),,2006,51.29119
Asia Pacific (EI),,2007,52.329796
Asia Pacific (EI),,2008,52.29807
Asia Pacific (EI),,2009,52.82493
Asia Pacific (EI),,2010,51.83897
Asia Pacific (EI),,2011,52.880276
Asia Pacific (EI),,2012,52.230137
Asia Pacific (EI),,2013,51.94378
Asia Pacific (EI),,2014,51.357513
Asia Pacific (EI),,2015,50.152473
Asia Pacific (EI),,2016,48.6633
Asia Pacific (EI),,2017,47.98266
Asia Pacific (EI),,2018,47.3957
Asia Pacific (EI),,2019,47.01043
Asia Pacific (EI),,2020,47.221535
Asia Pacific (EI),,2021,47.005962
Asia Pacific (EI),,2022,47.010498
Australia,AUS,1965,47.45109
Australia,AUS,1966,46.937496
Australia,AUS,1967,45.49845
Australia,AUS,1968,44.189198
Australia,AUS,1969,43.88694
Australia,AUS,1970,40.640907
Australia,AUS,1971,38.83876
Australia,AUS,1972,38.80091
Australia,AUS,1973,37.795456
