Entity,Code,Year,Low-carbon energy (% equivalent primary energy)
Africa,,1965,5.7402806
Africa,,1966,6.1139693
Africa,,1967,6.31658
Africa,,1968,6.994845
Africa,,1969,7.9439163
Africa,,1970,9.148895
Africa,,1971,8.124994
Africa,,1972,8.747272
Africa,,1973,8.54162
Africa,,1974,9.252387
Africa,,1975,9.228769
Africa,,1976,9.41638
Africa,,1977,9.803094
Africa,,1978,9.518462
Africa,,1979,9.349527
Africa,,1980,8.481442
Africa,,1981,7.8527517
Africa,,1982,7.3734274
Africa,,1983,6.456112
Africa,,1984,6.677004
Africa,,1985,7.2539763
Africa,,1986,7.8109107
Africa,,1987,6.987083
Africa,,1988,7.5433784
Africa,,1989,7.913025
Africa,,1990,7.5056524
Africa,,1991,7.9777184
Africa,,1992,7.5668573
Africa,,1993,7.2089205
Africa,,1994,7.3139257
Africa,,1995,7.4333496
Africa,,1996,7.578397
Africa,,1997,7.6702275
Africa,,1998,7.9497943
Africa,,1999,8.025167
Africa,,2000,8.36206
Africa,,2001,8.35347
Africa,,2002,8.677111
Africa,,2003,8.112006
Africa,,2004,7.9625874
Africa,,2005,7.8507504
Africa,,2006,7.8708215
Africa,,2007,7.826794
Africa,,2008,7.5902
Africa,,2009,7.6073847
Africa,,2010,7.943531
Africa,,2011,8.034728
Africa,,2012,7.754654
Africa,,2013,7.9908013
Africa,,2014,8.274274
Africa,,2015,8.123566
Africa,,2016,8.038461
Africa,,2017,8.404749
Africa,,2018,8.626728
Africa,,2019,9.043682
Africa,,2020,10.004886
Africa,,2021,9.9727
Africa,,2022,10.105217
Africa (EI),,1965,5.7402806
Africa (EI),,1966,6.113969
Africa (EI),,1967,6.31658
Africa (EI),,1968,6.994845
Africa (EI),,1969,7.9439154
Africa (EI),,1970,9.148896
Africa (EI),,1971,8.124996
Africa (EI),,1972,8.7472725
Africa (EI),,1973,8.54162
Africa (EI),,1974,9.252388
Africa (EI),,1975,9.228768
Africa (EI),,1976,9.416379
Africa (EI),,1977,9.803097
Africa (EI),,1978,9.518462
Africa (EI),,1979,9.349527
Africa (EI),,1980,8.481442
Africa (EI),,1981,7.8527517
Africa (EI),,1982,7.3734274
Africa (EI),,1983,6.456112
Africa (EI),,1984,6.677004
Africa (EI),,1985,7.2539763
Africa (EI),,1986,7.8109107
Africa (EI),,1987,6.987083
Africa (EI),,1988,7.5433784
Africa (EI),,1989,7.9130254
Africa (EI),,1990,7.5056524
Africa (EI),,1991,7.9777184
Africa (EI),,1992,7.5668573
Africa (EI),,1993,7.2089205
Africa (EI),,1994,7.3139257
Africa (EI),,1995,7.4333487
Africa (EI),,1996,7.578397
Africa (EI),,1997,7.670229
Africa (EI),,1998,7.949795
Africa (EI),,1999,8.025166
Africa (EI),,2000,8.36206
Africa (EI),,2001,8.35347
Africa (EI),,2002,8.677112
Africa (EI),,2003,8.112006
Africa (EI),,2004,7.9625874
Africa (EI),,2005,7.8507504
Africa (EI),,2006,7.8708215
Africa (EI),,2007,7.826794
Africa (EI),,2008,7.590201
Africa (EI),,2009,7.6073847
Africa (EI),,2010,7.943531
Africa (EI),,2011,8.034728
Africa (EI),,2012,7.754654
Africa (EI),,2013,7.9908013
Africa (EI),,2014,8.274274
Africa (EI),,2015,8.123566
Africa (EI),,2016,8.038461
Africa (EI),,2017,8.40475
Africa (EI),,2018,8.626729
Africa (EI),,2019,9.04368
Africa (EI),,2020,10.004886
Africa (EI),,2021,9.972699
Africa (EI),,2022,10.105217
Algeria,DZA,1965,4.7630677
Algeria,DZA,1966,3.518747
Algeria,DZA,1967,4.291954
Algeria,DZA,1968,5.4861946
Algeria,DZA,1969,3.1827633
Algeria,DZA,1970,4.6656837
Algeria,DZA,1971,2.4559188
Algeria,DZA,1972,3.278343
Algeria,DZA,1973,4.175826
Algeria,DZA,1974,2.494738
Algeria,DZA,1975,1.3782818
Algeria,DZA,1976,1.4010222
Algeria,DZA,1977,0.8817282
Algeria,DZA,1978,0.6521151
Algeria,DZA,1979,0.5792936
Algeria,DZA,1980,0.4290016
Algeria,DZA,1981,0.50294036
Algeria,DZA,1982,0.5708701
Algeria,DZA,1983,0.25644946
Algeria,DZA,1984,0.5136736
Algeria,DZA,1985,0.72826535
Algeria,DZA,1986,0.2664045
Algeria,DZA,1987,0.5174274
Algeria,DZA,1988,0.17717436
Algeria,DZA,1989,0.2249582
Algeria,DZA,1990,0.1267387
Algeria,DZA,1991,0.277607
