Entity,Code,Year,Oil (% equivalent primary energy)
Africa,,1965,47.762646
Africa,,1966,49.38456
Africa,,1967,48.71048
Africa,,1968,48.759373
Africa,,1969,48.39778
Africa,,1970,48.713306
Africa,,1971,49.760956
Africa,,1972,50.679546
Africa,,1973,50.371517
Africa,,1974,49.718487
Africa,,1975,49.212475
Africa,,1976,49.48227
Africa,,1977,49.95862
Africa,,1978,50.679153
Africa,,1979,48.979958
Africa,,1980,48.350178
Africa,,1981,46.631916
Africa,,1982,45.7851
Africa,,1983,46.29643
Africa,,1984,45.712723
Africa,,1985,45.060448
Africa,,1986,43.153847
Africa,,1987,44.104042
Africa,,1988,42.919205
Africa,,1989,44.270073
Africa,,1990,43.551716
Africa,,1991,43.82819
Africa,,1992,44.019966
Africa,,1993,44.349937
Africa,,1994,44.294155
Africa,,1995,44.04174
Africa,,1996,43.881626
Africa,,1997,44.325348
Africa,,1998,44.68261
Africa,,1999,44.938538
Africa,,2000,44.05792
Africa,,2001,42.988365
Africa,,2002,43.45031
Africa,,2003,42.70802
Africa,,2004,41.63453
Africa,,2005,43.35343
Africa,,2006,42.945213
Africa,,2007,42.939808
Africa,,2008,42.560226
Africa,,2009,43.34437
Africa,,2010,43.813923
Africa,,2011,42.71503
Africa,,2012,43.654137
Africa,,2013,44.011074
Africa,,2014,43.27379
Africa,,2015,43.414345
Africa,,2016,42.601696
Africa,,2017,42.01906
Africa,,2018,41.51666
Africa,,2019,40.91633
Africa,,2020,38.438507
Africa,,2021,39.3458
Africa,,2022,41.401794
Africa (EI),,1965,47.762646
Africa (EI),,1966,49.38456
Africa (EI),,1967,48.710476
Africa (EI),,1968,48.759373
Africa (EI),,1969,48.39778
Africa (EI),,1970,48.71331
Africa (EI),,1971,49.760956
Africa (EI),,1972,50.679546
Africa (EI),,1973,50.371517
Africa (EI),,1974,49.718487
Africa (EI),,1975,49.212475
Africa (EI),,1976,49.48226
Africa (EI),,1977,49.958626
Africa (EI),,1978,50.679153
Africa (EI),,1979,48.979958
Africa (EI),,1980,48.350178
Africa (EI),,1981,46.631916
Africa (EI),,1982,45.785095
