Entity,Code,Year,Wind consumption - TWh,Hydro consumption - TWh,Solar consumption - TWh,Nuclear consumption - TWh,Biofuels consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Coal consumption - TWh,Oil consumption - TWh,Gas consumption - TWh
Africa,,1965,0,41.118813,,0,,,323.49615,342.1337,9.571929
Africa,,1966,0,45.862915,,0,,,323.1222,370.45,10.698091
Africa,,1967,0,47.875538,,0,,,330.29156,369.19354,10.573845
Africa,,1968,0,56.00047,,0,,,343.5129,390.3657,10.717145
Africa,,1969,0,65.3521,,0,,,346.64288,398.15326,12.520175
Africa,,1970,0,81.70287,,0,,,360.7569,435.02704,15.5485
Africa,,1971,0,76.92131,0,0,,0.52352136,383.0123,474.3054,18.405262
Africa,,1972,0,87.62504,0,0,,0.5267136,384.21082,510.7296,24.670656
Africa,,1973,0,92.68892,0,0,,0.5426747,408.9103,549.80396,39.551792
Africa,,1974,0,105.46715,0,0,,0.5586358,425.64618,569.7385,44.518486
Africa,,1975,0,111.53163,0,0,,0.54905915,451.08047,597.671,53.63838
Africa,,1976,0,123.59514,0,0,,0.59055775,481.07413,652.5852,60.98139
Africa,,1977,0,135.81085,0,0,,0.6033267,491.69846,695.1952,68.23419
Africa,,1978,0,136.92912,0,0,,0.6224797,477.81558,732.366,97.369896
Africa,,1979,0,146.56386,0,0,,0.64163303,507.24698,771.1747,148.8428
Africa,,1980,0,142.85742,0,0,,0.66078633,543.55707,818.15454,186.91397
Africa,,1981,0,148.41988,0,0,,0.6959005,635.79877,885.4927,228.49115
Africa,,1982,0,148.4593,0,0,,0.7533603,701.17584,926.532,246.73354
Africa,,1983,0,133.79536,0,0,,0.7342069,713.24603,964.7042,271.27533
Africa,,1984,0,131.55637,0,11.137245,,0.7469758,762.8979,982.0362,259.90277
Africa,,1985,0,146.22218,0,15.081391,,0.8587031,787.16583,1007.3241,278.84274
Africa,,1986,0,151.23631,0,24.978643,,1.9731369,805.356,984.45636,313.27118
Africa,,1987,0,145.05942,0,17.498955,,1.9731369,828.3197,1038.56,323.38437
Africa,,1988,0,158.47527,0,29.774042,,1.8837552,890.16077,1081.7913,358.44452
Africa,,1989,0,166.40814,0,31.493576,,1.8550252,835.62085,1117.5557,371.47104
Africa,,1990,0,169.30139,0,23.974163,0,2.4564898,877.6782,1135.7396,398.64536
Africa,,1991,0,179.3458,0,25.946236,0,2.5178437,853.76215,1141.6711,401.6356
Africa,,1992,0,171.09227,0,26.35484,0,2.6294963,858.8312,1163.9397,421.27026
Africa,,1993,0.005913972,167.60956,0,20.58617,0,2.9341135,871.7139,1175.8846,412.64395
Africa,,1994,0.015967749,170.3109,0,27.51538,0,2.6102505,894.4478,1213.9683,431.82794
Africa,,1995,0.018629028,176.73593,0,32.066753,0,3.1447382,922.47125,1255.8745,461.2435
Africa,,1996,0.020994611,184.26909,0,33.41174,0,3.9078012,935.2283,1283.199,484.19174
Africa,,1997,0.021290332,188.81113,0,35.88605,0,4.327747,959.01904,1323.6312,474.47552
Africa,,1998,0.02247311,197.09778,0,38.593037,0,5.3564506,937.03894,1354.9565,499.33698
Africa,,1999,0.058548413,209.0126,0,36.42518,0,5.315038,966.0107,1404.4688,504.01962
Africa,,2000,0.51895165,222.53064,0.035309397,36.91607,0,7.232071,963.73047,1407.994,556.8223
Africa,,2001,1.2208858,237.57632,0.043949258,30.217817,0,7.436979,975.9262,1422.8947,634.6361
Africa,,2002,1.2947483,248.17819,0.04903564,33.585613,0.49089664,7.325133,934.42163,1456.7892,670.636
Africa,,2003,1.5533037,239.47658,0.058174383,35.24046,0.5413214,8.252064,1017.0484,1501.1073,711.536
Africa,,2004,2.213917,251.33615,0.07079313,36.957523,0.6367552,9.302899,1119.1617,1571.3392,783.10583
Africa,,2005,2.2345567,254.37917,0.0841371,31.029053,0.056165278,9.396595,1039.0726,1641.0862,808.0279
Africa,,2006,2.4258938,261.91766,0.10787505,27.375378,0.07229944,11.809589,1054.0969,1657.1124,843.74774
Africa,,2007,2.8734944,269.18546,0.14273654,30.707249,0.79117525,9.802753,1071.6333,1719.9576,900.41455
Africa,,2008,3.6861722,272.4835,0.2041617,35.065548,0.6100897,10.171823,1180.7251,1806.7784,935.5027
Africa,,2009,4.4382644,278.0456,0.26760218,34.31848,0.34024888,10.973952,1176.002,1871.0247,941.2384
