country,Energy Source,Total Energy Consumption (TWh)
World,oil_consumption,51349.656
World,oil_consumption,52969.59
World,solar_consumption,2771.829
World,solar_consumption,3448.237
World,wind_consumption,4851.594
World,wind_consumption,5487.6
World,coal_consumption,44564.812
World,coal_consumption,44854.035
World,other_renewable_consumption,2335.312
World,other_renewable_consumption,2413.808
World,hydro_consumption,11222.36
World,hydro_consumption,11299.816
World,nuclear_consumption,7037.069
World,nuclear_consumption,6702.339
World,gas_consumption,40670.66
World,gas_consumption,39413.043
